    igrf2010 
 13  6371.2 2010.0
 1  0 -29496.50      0.00   
 1  1  -1585.90   4945.10   
 2  0  -2396.60      0.00   
 2  1   3026.00  -2707.70   
 2  2   1668.60   -575.40   
 3  0   1339.70      0.00   
 3  1  -2326.30   -160.50   
 3  2   1231.70    251.70   
 3  3    634.20   -536.80   
 4  0    912.60      0.00   
 4  1    809.00    286.40   
 4  2    166.60   -211.20   
 4  3   -357.10    164.40   
 4  4     89.70   -309.20   
 5  0   -231.10      0.00   
 5  1    357.20     44.70   
 5  2    200.30    188.90   
 5  3   -141.20   -118.10   
 5  4   -163.10      0.10   
 5  5     -7.70    100.90   
 6  0     72.80      0.00   
 6  1     68.60    -20.80   
 6  2     76.00     44.20   
 6  3   -141.40     61.50   
 6  4    -22.90    -66.30   
 6  5     13.10      3.10   
 6  6    -77.90     54.90   
 7  0     80.40      0.00   
 7  1    -75.00    -57.80   
 7  2     -4.70    -21.20   
 7  3     45.30      6.60   
 7  4     14.00     24.90   
 7  5     10.40      7.00   
 7  6      1.60    -27.70   
 7  7      4.90     -3.40   
 8  0     24.30      0.00   
 8  1      8.20     10.90   
 8  2    -14.50    -20.00   
 8  3     -5.70     11.90   
 8  4    -19.30    -17.40   
 8  5     11.60     16.70   
 8  6     10.90      7.10   
 8  7    -14.10    -10.80   
 8  8     -3.70      1.70   
 9  0      5.40      0.00   
 9  1      9.40    -20.50   
 9  2      3.40     11.60   
 9  3     -5.30     12.80   
 9  4      3.10     -7.20   
 9  5    -12.40     -7.40   
 9  6     -0.80      8.00   
 9  7      8.40      2.20   
 9  8     -8.40     -6.10   
 9  9    -10.10      7.00   
10  0     -2.00      0.00   
10  1     -6.30      2.80   
10  2      0.90     -0.10   
10  3     -1.10      4.70   
10  4     -0.20      4.40   
10  5      2.50     -7.20   
10  6     -0.30     -1.00   
10  7      2.20     -4.00   
10  8      3.10     -2.00   
10  9     -1.00     -2.00   
10 10     -2.80     -8.30   
11  0      3.00      0.00   
11  1     -1.50      0.10   
11  2     -2.10      1.70   
11  3      1.60     -0.60   
11  4     -0.50     -1.80   
11  5      0.50      0.90   
11  6     -0.80     -0.40   
11  7      0.40     -2.50   
11  8      1.80     -1.30   
11  9      0.20     -2.10   
11 10      0.80     -1.90   
11 11      3.80     -1.80   
12  0     -2.10      0.00   
12  1     -0.20     -0.80   
12  2      0.30      0.30   
12  3      1.00      2.20   
12  4     -0.70     -2.50   
12  5      0.90      0.50   
12  6     -0.10      0.60   
12  7      0.50      0.00   
12  8     -0.40      0.10   
12  9     -0.40      0.30   
12 10      0.20     -0.90   
12 11     -0.80     -0.20   
12 12      0.00      0.80   
13  0     -0.20      0.00   
13  1     -0.90     -0.80   
13  2      0.30      0.30   
13  3      0.40      1.70   
13  4     -0.40     -0.60   
13  5      1.10     -1.20   
13  6     -0.30     -0.10   
13  7      0.80      0.50   
13  8     -0.20      0.10   
13  9      0.40      0.50   
13 10      0.00      0.40   
13 11      0.40     -0.20   
13 12     -0.30     -0.50   
13 13     -0.30     -0.80   
